Title,Year,Genre_1,Genre_2,Genre_3,Director,Writer_1,Writer_2,Writer_3,Actors_1,Actors_2,Actors_3,Actors_4,Metascore,imdbVotes,Language,Country,imdbRating
Deadpool,2016,6.164596895343019,6.3626827717736845,6.321287231826699,8.3,6.42,7.266666666666667,8.3,6.633333333333334,8.3,8.3,8.3,65.0,326.0,English,USA,A
The Jungle Book,2016,6.3626827717736845,6.805938349954643,6.2881696428571345,7.066666666666666,5.9,7.65,?,8.1,6.9363636363636365,7.056521739130435,6.529999999999999,78.0,15.0,English,USA,A
The Shawshank Redemption,1994,6.59053643724697,6.805938349954643,?,7.9750000000000005,6.057142857142857,7.8500000000000005,?,6.704166666666667,6.881081081081081,6.066666666666666,6.118181818181819,80.0,1.0,English,USA,S
The Godfather,1972,6.59053643724697,6.805938349954643,?,6.735000000000001,8.049999999999999,6.887499999999999,8.049999999999999,7.05925925925926,7.038461538461538,6.578260869565219,8.0,100.0,1.0,English,USA,S
The Godfather: Part II,1974,6.59053643724697,6.805938349954643,?,6.735000000000001,6.887499999999999,8.049999999999999,8.049999999999999,7.038461538461538,6.75,6.629166666666666,6.781818181818183,80.0,771.0,English,USA,S
The Dark Knight,2008,6.164596895343019,6.59053643724697,6.805938349954643,8.475,8.620000000000001,8.409090909090908,8.409090909090908,7.295833333333333,7.460000000000001,6.533333333333334,6.694230769230771,82.0,1.0,English,USA,S
Schindlers List,1993,7.090517241379306,6.805938349954643,7.13501199040767,7.4875,8.9,7.381818181818181,?,6.686956521739132,7.056521739130435,7.13,7.166666666666667,93.0,844.0,English,USA,S
12 Angry Men,1957,6.59053643724697,6.805938349954643,?,6.939999999999999,7.640000000000001,7.640000000000001,?,6.792857142857143,7.122222222222222,7.1238095238095225,8.1,?,431.0,English,USA,S
Pulp Fiction,1994,6.59053643724697,6.805938349954643,?,7.824999999999999,7.8999999999999995,7.65,7.8999999999999995,6.711111111111111,7.275,8.9,6.079411764705883,94.0,1.0,English,USA,S
The Lord of the Rings: The Return of the King,2003,6.3626827717736845,6.805938349954643,6.270794392523365,7.658333333333334,7.500000000000001,7.745454545454546,8.057142857142859,8.850000000000001,8.9,7.330000000000001,8.9,94.0,1.0,Quenya,USA,S
Fight Club,1999,6.805938349954643,?,?,7.942857142857143,7.7,7.5,?,7.1000000000000005,6.93448275862069,7.1,7.15,66.0,1.0,English,USA,S
The Lord of the Rings: The Fellowship of the Ring,2001,6.3626827717736845,6.805938349954643,6.270794392523365,7.658333333333334,7.500000000000001,7.745454545454546,8.057142857142859,8.8,8.850000000000001,7.330000000000001,8.75,92.0,1.0,English,New Zealand,S
Star Wars: Episode V - The Empire Strikes Back,1980,6.164596895343019,6.3626827717736845,6.270794392523365,6.542857142857144,7.785714285714286,7.164285714285714,7.185714285714288,7.050000000000001,6.781818181818181,6.859999999999999,6.887500000000001,79.0,810.0,English,USA,S
Forrest Gump,1994,6.805938349954643,6.596904663640125,?,7.346153846153846,8.8,6.827272727272728,?,6.945454545454546,8.8,6.290909090909091,8.8,82.0,1.0,English,USA,S
Inception,2010,6.164596895343019,6.511945812807886,5.828839390386872,8.475,8.409090909090908,?,?,7.363636363636363,6.818181818181818,6.866666666666667,7.33,74.0,1.0,English,USA,S
The Lord of the Rings: The Two Towers,2002,6.164596895343019,6.3626827717736845,6.805938349954643,7.658333333333334,7.500000000000001,7.745454545454546,8.057142857142859,8.7,7.330000000000001,7.5,8.75,88.0,1.0,English,USA,S
One Flew Over the Cuckoos Nest,1975,6.805938349954643,?,?,7.5699999999999985,8.7,7.375,8.7,8.7,8.7,8.7,8.7,79.0,665.0,English,USA,S
Goodfellas,1990,7.090517241379306,6.59053643724697,6.805938349954643,7.507692307692306,8.0,8.0,7.512499999999999,6.781818181818183,6.435294117647059,6.823529411764706,6.42857142857143,89.0,711.0,English,USA,S
The Matrix,1999,6.164596895343019,5.828839390386872,?,7.220000000000001,7.199999999999999,7.381818181818181,?,6.617391304347826,6.508333333333333,6.607692307692308,7.466666666666667,73.0,1.0,English,USA,S
Star Wars: Episode IV - A New Hope,1977,6.164596895343019,6.3626827717736845,6.270794392523365,7.171428571428572,7.185714285714288,?,?,7.050000000000001,6.781818181818181,6.859999999999999,6.365517241379309,92.0,886.0,English,USA,S
Se7en,1995,6.59053643724697,6.805938349954643,6.511945812807886,7.942857142857143,6.639999999999999,?,?,6.881081081081081,8.6,8.6,6.93448275862069,65.0,991.0,English,USA,S
